datetime,V_COMP,U_COMP,LATITUDE,LONGITUDE
1/1/2018 00:00,2.517857143,28.2,13.754,100.5014
1/1/2018 01:00,2.330357143,26.1,13.754,100.5014
1/1/2018 02:00,2.330357143,26.1,13.754,100.5014
1/1/2018 03:00,2.330357143,26.1,13.754,100.5014
1/1/2018 04:00,2.205357143,24.7,13.754,100.5014
1/1/2018 05:00,2.205357143,24.7,13.754,100.5014
1/1/2018 06:00,2.205357143,24.7,13.754,100.5014
1/1/2018 07:00,2.116071429,23.7,13.754,100.5014
1/1/2018 08:00,2.116071429,23.7,13.754,100.5014
1/1/2018 09:00,2.116071429,23.7,13.754,100.5014
1/1/2018 10:00,2.392857143,26.8,13.754,100.5014
1/1/2018 11:00,2.392857143,26.8,13.754,100.5014
1/1/2018 12:00,2.392857143,26.8,13.754,100.5014
1/1/2018 13:00,2.714285714,30.4,13.754,100.5014
1/1/2018 14:00,2.714285714,30.4,13.754,100.5014
1/1/2018 15:00,2.714285714,30.4,13.754,100.5014
1/1/2018 16:00,2.794642857,31.3,13.754,100.5014
1/1/2018 17:00,2.794642857,31.3,13.754,100.5014
1/1/2018 18:00,2.794642857,31.3,13.754,100.5014
1/1/2018 19:00,2.535714286,28.4,13.754,100.5014
1/1/2018 20:00,2.535714286,28.4,13.754,100.5014
1/1/2018 21:00,2.535714286,28.4,13.754,100.5014
1/1/2018 22:00,2.419642857,27.1,13.754,100.5014
1/1/2018 23:00,2.419642857,27.1,13.754,100.5014
2/1/2018 00:00,2.419642857,27.1,13.754,100.5014
2/1/2018 01:00,2.321428571,26,13.754,100.5014
2/1/2018 02:00,2.321428571,26,13.754,100.5014
2/1/2018 03:00,2.321428571,26,13.754,100.5014
2/1/2018 04:00,2.214285714,24.8,13.754,100.5014
2/1/2018 05:00,2.214285714,24.8,13.754,100.5014
2/1/2018 06:00,2.214285714,24.8,13.754,100.5014
2/1/2018 07:00,2.178571429,24.4,13.754,100.5014
2/1/2018 08:00,2.178571429,24.4,13.754,100.5014
2/1/2018 09:00,2.178571429,24.4,13.754,100.5014
2/1/2018 10:00,2.428571429,27.2,13.754,100.5014
2/1/2018 11:00,2.428571429,27.2,13.754,100.5014
2/1/2018 12:00,2.428571429,27.2,13.754,100.5014
2/1/2018 13:00,2.696428571,30.2,13.754,100.5014
2/1/2018 14:00,2.696428571,30.2,13.754,100.5014
2/1/2018 15:00,2.696428571,30.2,13.754,100.5014
2/1/2018 16:00,2.803571429,31.4,13.754,100.5014
2/1/2018 17:00,2.803571429,31.4,13.754,100.5014
2/1/2018 18:00,2.803571429,31.4,13.754,100.5014
2/1/2018 19:00,2.589285714,29,13.754,100.5014
2/1/2018 20:00,2.589285714,29,13.754,100.5014
2/1/2018 21:00,2.589285714,29,13.754,100.5014
2/1/2018 22:00,2.473214286,27.7,13.754,100.5014
2/1/2018 23:00,2.473214286,27.7,13.754,100.5014
3/1/2018 00:00,2.473214286,27.7,13.754,100.5014
3/1/2018 01:00,2.366071429,26.5,13.754,100.5014
3/1/2018 02:00,2.366071429,26.5,13.754,100.5014
3/1/2018 03:00,2.366071429,26.5,13.754,100.5014
3/1/2018 04:00,2.276785714,25.5,13.754,100.5014
3/1/2018 05:00,2.276785714,25.5,13.754,100.5014
3/1/2018 06:00,2.276785714,25.5,13.754,100.5014
3/1/2018 07:00,2.258928571,25.3,13.754,100.5014
3/1/2018 08:00,2.258928571,25.3,13.754,100.5014
3/1/2018 09:00,2.258928571,25.3,13.754,100.5014
3/1/2018 10:00,2.5625,28.7,13.754,100.5014
3/1/2018 11:00,2.5625,28.7,13.754,100.5014
3/1/2018 12:00,2.5625,28.7,13.754,100.5014
3/1/2018 13:00,2.785714286,31.2,13.754,100.5014
3/1/2018 14:00,2.785714286,31.2,13.754,100.5014
3/1/2018 15:00,2.785714286,31.2,13.754,100.5014
3/1/2018 16:00,2.875,32.2,13.754,100.5014
3/1/2018 17:00,2.875,32.2,13.754,100.5014
3/1/2018 18:00,2.875,32.2,13.754,100.5014
3/1/2018 19:00,2.651785714,29.7,13.754,100.5014
3/1/2018 20:00,2.651785714,29.7,13.754,100.5014
3/1/2018 21:00,2.651785714,29.7,13.754,100.5014
3/1/2018 22:00,2.571428571,28.8,13.754,100.5014
3/1/2018 23:00,2.571428571,28.8,13.754,100.5014
4/1/2018 00:00,2.571428571,28.8,13.754,100.5014
4/1/2018 01:00,2.491071429,27.9,13.754,100.5014
4/1/2018 02:00,2.491071429,27.9,13.754,100.5014
4/1/2018 03:00,2.491071429,27.9,13.754,100.5014
4/1/2018 04:00,2.392857143,26.8,13.754,100.5014
4/1/2018 05:00,2.392857143,26.8,13.754,100.5014
4/1/2018 06:00,2.392857143,26.8,13.754,100.5014
4/1/2018 07:00,2.321428571,26,13.754,100.5014
4/1/2018 08:00,2.321428571,26,13.754,100.5014
4/1/2018 09:00,2.321428571,26,13.754,100.5014
4/1/2018 10:00,2.633928571,29.5,13.754,100.5014
4/1/2018 11:00,2.633928571,29.5,13.754,100.5014
4/1/2018 12:00,2.633928571,29.5,13.754,100.5014
4/1/2018 13:00,2.883928571,32.3,13.754,100.5014
4/1/2018 14:00,2.883928571,32.3,13.754,100.5014
4/1/2018 15:00,2.883928571,32.3,13.754,100.5014
4/1/2018 16:00,2.946428571,33,13.754,100.5014
4/1/2018 17:00,2.946428571,33,13.754,100.5014
4/1/2018 18:00,2.946428571,33,13.754,100.5014
4/1/2018 19:00,2.767857143,31,13.754,100.5014
4/1/2018 20:00,2.767857143,31,13.754,100.5014
4/1/2018 21:00,2.767857143,31,13.754,100.5014
4/1/2018 22:00,2.678571429,30,13.754,100.5014
4/1/2018 23:00,2.678571429,30,13.754,100.5014
5/1/2018 00:00,2.678571429,30,13.754,100.5014
5/1/2018 01:00,2.544642857,28.5,13.754,100.5014
5/1/2018 02:00,2.544642857,28.5,13.754,100.5014
5/1/2018 03:00,2.544642857,28.5,13.754,100.5014
5/1/2018 04:00,2.455357143,27.5,13.754,100.5014
5/1/2018 05:00,2.455357143,27.5,13.754,100.5014
5/1/2018 06:00,2.455357143,27.5,13.754,100.5014
5/1/2018 07:00,2.375,26.6,13.754,100.5014
5/1/2018 08:00,2.375,26.6,13.754,100.5014
5/1/2018 09:00,2.375,26.6,13.754,100.5014
5/1/2018 10:00,2.705357143,30.3,13.754,100.5014
5/1/2018 11:00,2.705357143,30.3,13.754,100.5014
5/1/2018 12:00,2.705357143,30.3,13.754,100.5014
5/1/2018 13:00,3.008928571,33.7,13.754,100.5014
5/1/2018 14:00,3.008928571,33.7,13.754,100.5014
5/1/2018 15:00,3.008928571,33.7,13.754,100.5014
5/1/2018 16:00,3.053571429,34.2,13.754,100.5014
5/1/2018 17:00,3.053571429,34.2,13.754,100.5014
5/1/2018 18:00,3.053571429,34.2,13.754,100.5014
5/1/2018 19:00,2.839285714,31.8,13.754,100.5014
5/1/2018 20:00,2.839285714,31.8,13.754,100.5014
5/1/2018 21:00,2.839285714,31.8,13.754,100.5014
5/1/2018 22:00,2.741071429,30.7,13.754,100.5014
5/1/2018 23:00,2.741071429,30.7,13.754,100.5014
6/1/2018 00:00,2.741071429,30.7,13.754,100.5014
6/1/2018 01:00,2.553571429,28.6,13.754,100.5014
6/1/2018 02:00,2.553571429,28.6,13.754,100.5014
6/1/2018 03:00,2.553571429,28.6,13.754,100.5014
6/1/2018 04:00,2.473214286,27.7,13.754,100.5014
6/1/2018 05:00,2.473214286,27.7,13.754,100.5014
6/1/2018 06:00,2.473214286,27.7,13.754,100.5014
6/1/2018 07:00,2.455357143,27.5,13.754,100.5014
6/1/2018 08:00,2.455357143,27.5,13.754,100.5014
6/1/2018 09:00,2.455357143,27.5,13.754,100.5014
6/1/2018 10:00,2.75,30.8,13.754,100.5014
6/1/2018 11:00,2.75,30.8,13.754,100.5014
6/1/2018 12:00,2.75,30.8,13.754,100.5014
6/1/2018 13:00,2.9375,32.9,13.754,100.5014
6/1/2018 14:00,2.9375,32.9,13.754,100.5014
6/1/2018 15:00,2.9375,32.9,13.754,100.5014
6/1/2018 16:00,2.928571429,32.8,13.754,100.5014
6/1/2018 17:00,2.928571429,32.8,13.754,100.5014
6/1/2018 18:00,2.928571429,32.8,13.754,100.5014
6/1/2018 19:00,2.75,30.8,13.754,100.5014
6/1/2018 20:00,2.75,30.8,13.754,100.5014
6/1/2018 21:00,2.75,30.8,13.754,100.5014
6/1/2018 22:00,2.642857143,29.6,13.754,100.5014
6/1/2018 23:00,2.642857143,29.6,13.754,100.5014
7/1/2018 00:00,2.642857143,29.6,13.754,100.5014
7/1/2018 01:00,2.526785714,28.3,13.754,100.5014
7/1/2018 02:00,2.526785714,28.3,13.754,100.5014
7/1/2018 03:00,2.526785714,28.3,13.754,100.5014
7/1/2018 04:00,2.455357143,27.5,13.754,100.5014
7/1/2018 05:00,2.455357143,27.5,13.754,100.5014
7/1/2018 06:00,2.455357143,27.5,13.754,100.5014
7/1/2018 07:00,2.428571429,27.2,13.754,100.5014
7/1/2018 08:00,2.428571429,27.2,13.754,100.5014
7/1/2018 09:00,2.428571429,27.2,13.754,100.5014
7/1/2018 10:00,2.732142857,30.6,13.754,100.5014
7/1/2018 11:00,2.732142857,30.6,13.754,100.5014
7/1/2018 12:00,2.732142857,30.6,13.754,100.5014
7/1/2018 13:00,2.830357143,31.7,13.754,100.5014
7/1/2018 14:00,2.830357143,31.7,13.754,100.5014
7/1/2018 15:00,2.830357143,31.7,13.754,100.5014
7/1/2018 16:00,2.803571429,31.4,13.754,100.5014
7/1/2018 17:00,2.803571429,31.4,13.754,100.5014
7/1/2018 18:00,2.803571429,31.4,13.754,100.5014
7/1/2018 19:00,2.589285714,29,13.754,100.5014
7/1/2018 20:00,2.589285714,29,13.754,100.5014
7/1/2018 21:00,2.589285714,29,13.754,100.5014
7/1/2018 22:00,2.526785714,28.3,13.754,100.5014
7/1/2018 23:00,2.526785714,28.3,13.754,100.5014
8/1/2018 00:00,2.526785714,28.3,13.754,100.5014
8/1/2018 01:00,2.473214286,27.7,13.754,100.5014
8/1/2018 02:00,2.473214286,27.7,13.754,100.5014
8/1/2018 03:00,2.473214286,27.7,13.754,100.5014
8/1/2018 04:00,2.428571429,27.2,13.754,100.5014
8/1/2018 05:00,2.428571429,27.2,13.754,100.5014
8/1/2018 06:00,2.428571429,27.2,13.754,100.5014
8/1/2018 07:00,2.401785714,26.9,13.754,100.5014
8/1/2018 08:00,2.401785714,26.9,13.754,100.5014
8/1/2018 09:00,2.401785714,26.9,13.754,100.5014
